Country,Variable,ModelType,Score_RMSE
Afghanistan,P_RuleOfLaw,AutoReg2Lags,
Afghanistan,P_RuleOfLaw,AutoReg3Lags,
Afghanistan,P_RuleOfLaw,Constant,
Afghanistan,P_CleanElectionsIndex,Linear,
Afghanistan,P_CleanElectionsIndex,Quadratic,
Afghanistan,P_CleanElectionsIndex,Cubic,
Afghanistan,P_CleanElectionsIndex,AutoReg1Lags,
Afghanistan,P_CleanElectionsIndex,AutoReg2Lags,
Afghanistan,P_CleanElectionsIndex,AutoReg3Lags,
Afghanistan,P_CleanElectionsIndex,Constant,
Afghanistan,S_AccessToCleanFuelsPctOfTotal,Linear,
Afghanistan,S_AccessToCleanFuelsPctOfTotal,Quadratic,
Afghanistan,S_AccessToCleanFuelsPctOfTotal,Cubic,
Afghanistan,S_AccessToCleanFuelsPctOfTotal,AutoReg1Lags,
Afghanistan,S_AccessToCleanFuelsPctOfTotal,AutoReg2Lags,
Afghanistan,S_AccessToCleanFuelsPctOfTotal,AutoReg3Lags,
Afghanistan,S_AccessToCleanFuelsPctOfTotal,Constant,
Afghanistan,S_UrbanPopPctOfTotal,Linear,
Afghanistan,S_UrbanPopPctOfTotal,Quadratic,
Afghanistan,S_UrbanPopPctOfTotal,Cubic,
Afghanistan,S_UrbanPopPctOfTotal,AutoReg1Lags,
Afghanistan,S_UrbanPopPctOfTotal,AutoReg2Lags,
Afghanistan,S_UrbanPopPctOfTotal,AutoReg3Lags,
Afghanistan,S_UrbanPopPctOfTotal,Constant,
Afghanistan,S_AccessToElectricityPctOfTotal,Linear,
Afghanistan,S_AccessToElectricityPctOfTotal,Quadratic,
Afghanistan,S_AccessToElectricityPctOfTotal,Cubic,
Afghanistan,S_AccessToElectricityPctOfTotal,AutoReg1Lags,
Afghanistan,S_AccessToElectricityPctOfTotal,AutoReg2Lags,
Afghanistan,S_AccessToElectricityPctOfTotal,AutoReg3Lags,
Afghanistan,S_AccessToElectricityPctOfTotal,Constant,
Afghanistan,S_UpperSecEduPctOfTotal,Linear,
Afghanistan,S_UpperSecEduPctOfTotal,Quadratic,
Afghanistan,S_UpperSecEduPctOfTotal,Cubic,
Afghanistan,S_UpperSecEduPctOfTotal,AutoReg1Lags,
Afghanistan,S_UpperSecEduPctOfTotal,AutoReg2Lags,
Afghanistan,S_UpperSecEduPctOfTotal,AutoReg3Lags,
Afghanistan,S_UpperSecEduPctOfTotal,Constant,
Afghanistan,S_CompulsoryEducationYears,Linear,
Afghanistan,S_CompulsoryEducationYears,Quadratic,
Afghanistan,S_CompulsoryEducationYears,Cubic,
Afghanistan,S_CompulsoryEducationYears,AutoReg1Lags,
Afghanistan,S_CompulsoryEducationYears,AutoReg2Lags,
Afghanistan,S_CompulsoryEducationYears,AutoReg3Lags,
Afghanistan,S_CompulsoryEducationYears,Constant,
Afghanistan,S_LaborParticipRateFemale,Linear,
Afghanistan,S_LaborParticipRateFemale,Quadratic,
Afghanistan,S_LaborParticipRateFemale,Cubic,
Afghanistan,S_LaborParticipRateFemale,AutoReg1Lags,
Afghanistan,S_LaborParticipRateFemale,AutoReg2Lags,
Afghanistan,S_LaborParticipRateFemale,AutoReg3Lags,
Afghanistan,S_LaborParticipRateFemale,Constant,
Afghanistan,S_PopulationAged14OrLess,Linear,
Afghanistan,S_PopulationAged14OrLess,Quadratic,
Afghanistan,S_PopulationAged14OrLess,Cubic,
Afghanistan,S_PopulationAged14OrLess,AutoReg1Lags,
Afghanistan,S_PopulationAged14OrLess,AutoReg2Lags,
Afghanistan,S_PopulationAged14OrLess,AutoReg3Lags,
Afghanistan,S_PopulationAged14OrLess,Constant,
Afghanistan,V_CO2PerCapita,Linear,
Afghanistan,V_CO2PerCapita,Quadratic,
Afghanistan,V_CO2PerCapita,Cubic,
Afghanistan,V_CO2PerCapita,AutoReg1Lags,
Afghanistan,V_CO2PerCapita,AutoReg2Lags,
Afghanistan,V_CO2PerCapita,AutoReg3Lags,
Afghanistan,V_CO2PerCapita,Constant,
Afghanistan,V_FertilizerUseKgPerHectare,Linear,
Afghanistan,V_FertilizerUseKgPerHectare,Quadratic,
Afghanistan,V_FertilizerUseKgPerHectare,Cubic,
Afghanistan,V_FertilizerUseKgPerHectare,AutoReg1Lags,
Afghanistan,V_FertilizerUseKgPerHectare,AutoReg2Lags,
Afghanistan,V_FertilizerUseKgPerHectare,AutoReg3Lags,
Afghanistan,V_FertilizerUseKgPerHectare,Constant,
Afghanistan,V_AgriculturalLandPctOfTotal,Linear,
Afghanistan,V_AgriculturalLandPctOfTotal,Quadratic,
Afghanistan,V_AgriculturalLandPctOfTotal,Cubic,
Afghanistan,V_AgriculturalLandPctOfTotal,AutoReg1Lags,
Afghanistan,V_AgriculturalLandPctOfTotal,AutoReg2Lags,
Afghanistan,V_AgriculturalLandPctOfTotal,AutoReg3Lags,
Afghanistan,V_AgriculturalLandPctOfTotal,Constant,
Afghanistan,V_ForestAreaPctOfTotal,Linear,
Afghanistan,V_ForestAreaPctOfTotal,Quadratic,
Afghanistan,V_ForestAreaPctOfTotal,Cubic,
Afghanistan,V_ForestAreaPctOfTotal,AutoReg1Lags,
Afghanistan,V_ForestAreaPctOfTotal,AutoReg2Lags,
Afghanistan,V_ForestAreaPctOfTotal,AutoReg3Lags,
Afghanistan,V_ForestAreaPctOfTotal,Constant,
Afghanistan,H_AirPollutionMeanExpPctOfPop,Linear,
Afghanistan,H_AirPollutionMeanExpPctOfPop,Quadratic,
Afghanistan,H_AirPollutionMeanExpPctOfPop,Cubic,
Afghanistan,H_AirPollutionMeanExpPctOfPop,AutoReg1Lags,
Afghanistan,H_AirPollutionMeanExpPctOfPop,AutoReg2Lags,
Afghanistan,H_AirPollutionMeanExpPctOfPop,AutoReg3Lags,
Afghanistan,H_AirPollutionMeanExpPctOfPop,Constant,
Afghanistan,H_TotalSuicideRate,Linear,
Afghanistan,H_TotalSuicideRate,Quadratic,
Afghanistan,H_TotalSuicideRate,Cubic,
Afghanistan,H_TotalSuicideRate,AutoReg1Lags,
Afghanistan,H_TotalSuicideRate,AutoReg2Lags,
Afghanistan,H_TotalSuicideRate,AutoReg3Lags,
Afghanistan,H_TotalSuicideRate,Constant,
Albania,E_GDPPerCapitaConstant,Linear,
Albania,E_GDPPerCapitaConstant,Quadratic,
Albania,E_GDPPerCapitaConstant,Cubic,
Albania,E_GDPPerCapitaConstant,AutoReg1Lags,
Albania,E_GDPPerCapitaConstant,AutoReg2Lags,
Albania,E_GDPPerCapitaConstant,AutoReg3Lags,
Albania,E_GDPPerCapitaConstant,Constant,
Albania,E_PovertyGap685Headcount,Linear,
Albania,E_PovertyGap685Headcount,Quadratic,
Albania,E_PovertyGap685Headcount,Cubic,
Albania,E_PovertyGap685Headcount,AutoReg1Lags,
Albania,E_PovertyGap685Headcount,AutoReg2Lags,
Albania,E_PovertyGap685Headcount,AutoReg3Lags,
Albania,E_PovertyGap685Headcount,Constant,
Albania,E_HealthExpenditurePerCapita,Linear,
Albania,E_HealthExpenditurePerCapita,Quadratic,
Albania,E_HealthExpenditurePerCapita,Cubic,
Albania,E_HealthExpenditurePerCapita,AutoReg1Lags,
Albania,E_HealthExpenditurePerCapita,AutoReg2Lags,
Albania,E_HealthExpenditurePerCapita,AutoReg3Lags,
Albania,E_HealthExpenditurePerCapita,Constant,
Albania,E_ExportsPctOfGDP,Linear,
Albania,E_ExportsPctOfGDP,Quadratic,
Albania,E_ExportsPctOfGDP,Cubic,
Albania,E_ExportsPctOfGDP,AutoReg1Lags,
Albania,E_ExportsPctOfGDP,AutoReg2Lags,
Albania,E_ExportsPctOfGDP,AutoReg3Lags,
Albania,E_ExportsPctOfGDP,Constant,
Albania,E_GiniIndex,Linear,
Albania,E_GiniIndex,Quadratic,
Albania,E_GiniIndex,Cubic,
Albania,E_GiniIndex,AutoReg1Lags,
Albania,E_GiniIndex,AutoReg2Lags,
Albania,E_GiniIndex,AutoReg3Lags,
Albania,E_GiniIndex,Constant,
Albania,E_EducationExpenditurePctOfGDP,Linear,
Albania,E_EducationExpenditurePctOfGDP,Quadratic,
Albania,E_EducationExpenditurePctOfGDP,Cubic,
Albania,E_EducationExpenditurePctOfGDP,AutoReg1Lags,
Albania,E_EducationExpenditurePctOfGDP,AutoReg2Lags,
Albania,E_EducationExpenditurePctOfGDP,AutoReg3Lags,
Albania,E_EducationExpenditurePctOfGDP,Constant,
Albania,E_LaborTaxPctOfProfits,Linear,
Albania,E_LaborTaxPctOfProfits,Quadratic,
Albania,E_LaborTaxPctOfProfits,Cubic,
Albania,E_LaborTaxPctOfProfits,AutoReg1Lags,
Albania,E_LaborTaxPctOfProfits,AutoReg2Lags,
Albania,E_LaborTaxPctOfProfits,AutoReg3Lags,
Albania,E_LaborTaxPctOfProfits,Constant,
Albania,E_ConsumerPriceInflation,Linear,
Albania,E_ConsumerPriceInflation,Quadratic,
Albania,E_ConsumerPriceInflation,Cubic,
Albania,E_ConsumerPriceInflation,AutoReg1Lags,
Albania,E_ConsumerPriceInflation,AutoReg2Lags,
Albania,E_ConsumerPriceInflation,AutoReg3Lags,
Albania,E_ConsumerPriceInflation,Constant,
Albania,E_FemaleUnemployment,Linear,
Albania,E_FemaleUnemployment,Quadratic,
Albania,E_FemaleUnemployment,Cubic,
Albania,E_FemaleUnemployment,AutoReg1Lags,
Albania,E_FemaleUnemployment,AutoReg2Lags,
Albania,E_FemaleUnemployment,AutoReg3Lags,
Albania,E_FemaleUnemployment,Constant,
Albania,E_ImportsPctOfGDP,Linear,
Albania,E_ImportsPctOfGDP,Quadratic,
Albania,E_ImportsPctOfGDP,Cubic,
Albania,E_ImportsPctOfGDP,AutoReg1Lags,
Albania,E_ImportsPctOfGDP,AutoReg2Lags,
Albania,E_ImportsPctOfGDP,AutoReg3Lags,
Albania,E_ImportsPctOfGDP,Constant,
Albania,P_GovernmentEffectiveness,Linear,
Albania,P_GovernmentEffectiveness,Quadratic,
Albania,P_GovernmentEffectiveness,Cubic,
Albania,P_GovernmentEffectiveness,AutoReg1Lags,
Albania,P_GovernmentEffectiveness,AutoReg2Lags,
Albania,P_GovernmentEffectiveness,AutoReg3Lags,
Albania,P_GovernmentEffectiveness,Constant,
Albania,P_ControlOfCorruption,Linear,
Albania,P_ControlOfCorruption,Quadratic,
Albania,P_ControlOfCorruption,Cubic,
Albania,P_ControlOfCorruption,AutoReg1Lags,
Albania,P_ControlOfCorruption,AutoReg2Lags,
Albania,P_ControlOfCorruption,AutoReg3Lags,
Albania,P_ControlOfCorruption,Constant,
Albania,P_RuleOfLaw,Linear,
Albania,P_RuleOfLaw,Quadratic,
Albania,P_RuleOfLaw,Cubic,
Albania,P_RuleOfLaw,AutoReg1Lags,
Albania,P_RuleOfLaw,AutoReg2Lags,
Albania,P_RuleOfLaw,AutoReg3Lags,
Albania,P_RuleOfLaw,Constant,
Albania,P_CleanElectionsIndex,Linear,
Albania,P_CleanElectionsIndex,Quadratic,
Albania,P_CleanElectionsIndex,Cubic,
Albania,P_CleanElectionsIndex,AutoReg1Lags,
Albania,P_CleanElectionsIndex,AutoReg2Lags,
Albania,P_CleanElectionsIndex,AutoReg3Lags,
Albania,P_CleanElectionsIndex,Constant,
Albania,S_AccessToCleanFuelsPctOfTotal,Linear,
Albania,S_AccessToCleanFuelsPctOfTotal,Quadratic,
Albania,S_AccessToCleanFuelsPctOfTotal,Cubic,
Albania,S_AccessToCleanFuelsPctOfTotal,AutoReg1Lags,
Albania,S_AccessToCleanFuelsPctOfTotal,AutoReg2Lags,
Albania,S_AccessToCleanFuelsPctOfTotal,AutoReg3Lags,
Albania,S_AccessToCleanFuelsPctOfTotal,Constant,
Albania,S_UrbanPopPctOfTotal,Linear,
Albania,S_UrbanPopPctOfTotal,Quadratic,
Albania,S_UrbanPopPctOfTotal,Cubic,
Albania,S_UrbanPopPctOfTotal,AutoReg1Lags,
Albania,S_UrbanPopPctOfTotal,AutoReg2Lags,
Albania,S_UrbanPopPctOfTotal,AutoReg3Lags,
Albania,S_UrbanPopPctOfTotal,Constant,
Albania,S_AccessToElectricityPctOfTotal,Linear,
Albania,S_AccessToElectricityPctOfTotal,Quadratic,
Albania,S_AccessToElectricityPctOfTotal,Cubic,
Albania,S_AccessToElectricityPctOfTotal,AutoReg1Lags,
Albania,S_AccessToElectricityPctOfTotal,AutoReg2Lags,
Albania,S_AccessToElectricityPctOfTotal,AutoReg3Lags,
Albania,S_AccessToElectricityPctOfTotal,Constant,
Albania,S_UpperSecEduPctOfTotal,Linear,
Albania,S_UpperSecEduPctOfTotal,Quadratic,
Albania,S_UpperSecEduPctOfTotal,Cubic,
Albania,S_UpperSecEduPctOfTotal,AutoReg1Lags,
Albania,S_UpperSecEduPctOfTotal,AutoReg2Lags,
Albania,S_UpperSecEduPctOfTotal,AutoReg3Lags,
Albania,S_UpperSecEduPctOfTotal,Constant,
Albania,S_CompulsoryEducationYears,Linear,
Albania,S_CompulsoryEducationYears,Quadratic,
Albania,S_CompulsoryEducationYears,Cubic,
Albania,S_CompulsoryEducationYears,AutoReg1Lags,
Albania,S_CompulsoryEducationYears,AutoReg2Lags,
Albania,S_CompulsoryEducationYears,AutoReg3Lags,
Albania,S_CompulsoryEducationYears,Constant,
Albania,S_LaborParticipRateFemale,Linear,
Albania,S_LaborParticipRateFemale,Quadratic,
Albania,S_LaborParticipRateFemale,Cubic,
Albania,S_LaborParticipRateFemale,AutoReg1Lags,
Albania,S_LaborParticipRateFemale,AutoReg2Lags,
Albania,S_LaborParticipRateFemale,AutoReg3Lags,
Albania,S_LaborParticipRateFemale,Constant,
Albania,S_PopulationAged14OrLess,Linear,
Albania,S_PopulationAged14OrLess,Quadratic,
Albania,S_PopulationAged14OrLess,Cubic,
Albania,S_PopulationAged14OrLess,AutoReg1Lags,
Albania,S_PopulationAged14OrLess,AutoReg2Lags,
Albania,S_PopulationAged14OrLess,AutoReg3Lags,
Albania,S_PopulationAged14OrLess,Constant,
Albania,V_CO2PerCapita,Linear,
Albania,V_CO2PerCapita,Quadratic,
Albania,V_CO2PerCapita,Cubic,
Albania,V_CO2PerCapita,AutoReg1Lags,
Albania,V_CO2PerCapita,AutoReg2Lags,
Albania,V_CO2PerCapita,AutoReg3Lags,
Albania,V_CO2PerCapita,Constant,
Albania,V_FertilizerUseKgPerHectare,Linear,
Albania,V_FertilizerUseKgPerHectare,Quadratic,
Albania,V_FertilizerUseKgPerHectare,Cubic,
Albania,V_FertilizerUseKgPerHectare,AutoReg1Lags,
Albania,V_FertilizerUseKgPerHectare,AutoReg2Lags,
Albania,V_FertilizerUseKgPerHectare,AutoReg3Lags,
Albania,V_FertilizerUseKgPerHectare,Constant,
Albania,V_AgriculturalLandPctOfTotal,Linear,
Albania,V_AgriculturalLandPctOfTotal,Quadratic,
Albania,V_AgriculturalLandPctOfTotal,Cubic,
Albania,V_AgriculturalLandPctOfTotal,AutoReg1Lags,
Albania,V_AgriculturalLandPctOfTotal,AutoReg2Lags,
Albania,V_AgriculturalLandPctOfTotal,AutoReg3Lags,
Albania,V_AgriculturalLandPctOfTotal,Constant,
Albania,V_ForestAreaPctOfTotal,Linear,
Albania,V_ForestAreaPctOfTotal,Quadratic,
Albania,V_ForestAreaPctOfTotal,Cubic,
Albania,V_ForestAreaPctOfTotal,AutoReg1Lags,
Albania,V_ForestAreaPctOfTotal,AutoReg2Lags,
Albania,V_ForestAreaPctOfTotal,AutoReg3Lags,
Albania,V_ForestAreaPctOfTotal,Constant,
Albania,H_AirPollutionMeanExpPctOfPop,Linear,
Albania,H_AirPollutionMeanExpPctOfPop,Quadratic,
Albania,H_AirPollutionMeanExpPctOfPop,Cubic,
Albania,H_AirPollutionMeanExpPctOfPop,AutoReg1Lags,
Albania,H_AirPollutionMeanExpPctOfPop,AutoReg2Lags,
Albania,H_AirPollutionMeanExpPctOfPop,AutoReg3Lags,
Albania,H_AirPollutionMeanExpPctOfPop,Constant,
Albania,H_TotalSuicideRate,Linear,
Albania,H_TotalSuicideRate,Quadratic,
Albania,H_TotalSuicideRate,Cubic,
Albania,H_TotalSuicideRate,AutoReg1Lags,
Albania,H_TotalSuicideRate,AutoReg2Lags,
Albania,H_TotalSuicideRate,AutoReg3Lags,
Albania,H_TotalSuicideRate,Constant,
Algeria,E_GDPPerCapitaConstant,Linear,
Algeria,E_GDPPerCapitaConstant,Quadratic,
Algeria,E_GDPPerCapitaConstant,Cubic,
Algeria,E_GDPPerCapitaConstant,AutoReg1Lags,
Algeria,E_GDPPerCapitaConstant,AutoReg2Lags,
Algeria,E_GDPPerCapitaConstant,AutoReg3Lags,
Algeria,E_GDPPerCapitaConstant,Constant,
Algeria,E_PovertyGap685Headcount,Linear,
Algeria,E_PovertyGap685Headcount,Quadratic,
Algeria,E_PovertyGap685Headcount,Cubic,
Algeria,E_PovertyGap685Headcount,AutoReg1Lags,
Algeria,E_PovertyGap685Headcount,AutoReg2Lags,
Algeria,E_PovertyGap685Headcount,AutoReg3Lags,
Algeria,E_PovertyGap685Headcount,Constant,
Algeria,E_HealthExpenditurePerCapita,Linear,
Algeria,E_HealthExpenditurePerCapita,Quadratic,
Algeria,E_HealthExpenditurePerCapita,Cubic,
Algeria,E_HealthExpenditurePerCapita,AutoReg1Lags,
Algeria,E_HealthExpenditurePerCapita,AutoReg2Lags,
Algeria,E_HealthExpenditurePerCapita,AutoReg3Lags,
Algeria,E_HealthExpenditurePerCapita,Constant,
Algeria,E_ExportsPctOfGDP,Linear,
Algeria,E_ExportsPctOfGDP,Quadratic,
Algeria,E_ExportsPctOfGDP,Cubic,
Algeria,E_ExportsPctOfGDP,AutoReg1Lags,
Algeria,E_ExportsPctOfGDP,AutoReg2Lags,
Algeria,E_ExportsPctOfGDP,AutoReg3Lags,
Algeria,E_ExportsPctOfGDP,Constant,
Algeria,E_GiniIndex,Linear,
Algeria,E_GiniIndex,Quadratic,
Algeria,E_GiniIndex,Cubic,
Algeria,E_GiniIndex,AutoReg1Lags,
Algeria,E_GiniIndex,AutoReg2Lags,
Algeria,E_GiniIndex,AutoReg3Lags,
Algeria,E_GiniIndex,Constant,
Algeria,E_EducationExpenditurePctOfGDP,Linear,
Algeria,E_EducationExpenditurePctOfGDP,Quadratic,
Algeria,E_EducationExpenditurePctOfGDP,Cubic,
Algeria,E_EducationExpenditurePctOfGDP,AutoReg1Lags,
Algeria,E_EducationExpenditurePctOfGDP,AutoReg2Lags,
Algeria,E_EducationExpenditurePctOfGDP,AutoReg3Lags,
Algeria,E_EducationExpenditurePctOfGDP,Constant,
Algeria,E_LaborTaxPctOfProfits,Linear,
Algeria,E_LaborTaxPctOfProfits,Quadratic,
Algeria,E_LaborTaxPctOfProfits,Cubic,
Algeria,E_LaborTaxPctOfProfits,AutoReg1Lags,
Algeria,E_LaborTaxPctOfProfits,AutoReg2Lags,
Algeria,E_LaborTaxPctOfProfits,AutoReg3Lags,
Algeria,E_LaborTaxPctOfProfits,Constant,
Algeria,E_ConsumerPriceInflation,Linear,
Algeria,E_ConsumerPriceInflation,Quadratic,
Algeria,E_ConsumerPriceInflation,Cubic,
Algeria,E_ConsumerPriceInflation,AutoReg1Lags,
Algeria,E_ConsumerPriceInflation,AutoReg2Lags,
Algeria,E_ConsumerPriceInflation,AutoReg3Lags,
Algeria,E_ConsumerPriceInflation,Constant,
Algeria,E_FemaleUnemployment,Linear,
Algeria,E_FemaleUnemployment,Quadratic,
Algeria,E_FemaleUnemployment,Cubic,
Algeria,E_FemaleUnemployment,AutoReg1Lags,
Algeria,E_FemaleUnemployment,AutoReg2Lags,
Algeria,E_FemaleUnemployment,AutoReg3Lags,
Algeria,E_FemaleUnemployment,Constant,
Algeria,E_ImportsPctOfGDP,Linear,
Algeria,E_ImportsPctOfGDP,Quadratic,
Algeria,E_ImportsPctOfGDP,Cubic,
Algeria,E_ImportsPctOfGDP,AutoReg1Lags,
Algeria,E_ImportsPctOfGDP,AutoReg2Lags,
Algeria,E_ImportsPctOfGDP,AutoReg3Lags,
Algeria,E_ImportsPctOfGDP,Constant,
Algeria,P_GovernmentEffectiveness,Linear,
Algeria,P_GovernmentEffectiveness,Quadratic,
Algeria,P_GovernmentEffectiveness,Cubic,
Algeria,P_GovernmentEffectiveness,AutoReg1Lags,
Algeria,P_GovernmentEffectiveness,AutoReg2Lags,
Algeria,P_GovernmentEffectiveness,AutoReg3Lags,
Algeria,P_GovernmentEffectiveness,Constant,
Algeria,P_ControlOfCorruption,Linear,
Algeria,P_ControlOfCorruption,Quadratic,
Algeria,P_ControlOfCorruption,Cubic,
Algeria,P_ControlOfCorruption,AutoReg1Lags,
Algeria,P_ControlOfCorruption,AutoReg2Lags,
Algeria,P_ControlOfCorruption,AutoReg3Lags,
Algeria,P_ControlOfCorruption,Constant,
Algeria,P_RuleOfLaw,Linear,
Algeria,P_RuleOfLaw,Quadratic,
Algeria,P_RuleOfLaw,Cubic,
Algeria,P_RuleOfLaw,AutoReg1Lags,
Algeria,P_RuleOfLaw,AutoReg2Lags,
Algeria,P_RuleOfLaw,AutoReg3Lags,
Algeria,P_RuleOfLaw,Constant,
Algeria,P_CleanElectionsIndex,Linear,
Algeria,P_CleanElectionsIndex,Quadratic,
Algeria,P_CleanElectionsIndex,Cubic,
Algeria,P_CleanElectionsIndex,AutoReg1Lags,
Algeria,P_CleanElectionsIndex,AutoReg2Lags,
Algeria,P_CleanElectionsIndex,AutoReg3Lags,
Algeria,P_CleanElectionsIndex,Constant,
Algeria,S_AccessToCleanFuelsPctOfTotal,Linear,
Algeria,S_AccessToCleanFuelsPctOfTotal,Quadratic,
Algeria,S_AccessToCleanFuelsPctOfTotal,Cubic,
Algeria,S_AccessToCleanFuelsPctOfTotal,AutoReg1Lags,
Algeria,S_AccessToCleanFuelsPctOfTotal,AutoReg2Lags,
Algeria,S_AccessToCleanFuelsPctOfTotal,AutoReg3Lags,
Algeria,S_AccessToCleanFuelsPctOfTotal,Constant,
Algeria,S_UrbanPopPctOfTotal,Linear,
Algeria,S_UrbanPopPctOfTotal,Quadratic,
Algeria,S_UrbanPopPctOfTotal,Cubic,
Algeria,S_UrbanPopPctOfTotal,AutoReg1Lags,
Algeria,S_UrbanPopPctOfTotal,AutoReg2Lags,
Algeria,S_UrbanPopPctOfTotal,AutoReg3Lags,
Algeria,S_UrbanPopPctOfTotal,Constant,
Algeria,S_AccessToElectricityPctOfTotal,Linear,
Algeria,S_AccessToElectricityPctOfTotal,Quadratic,
Algeria,S_AccessToElectricityPctOfTotal,Cubic,
Algeria,S_AccessToElectricityPctOfTotal,AutoReg1Lags,
Algeria,S_AccessToElectricityPctOfTotal,AutoReg2Lags,
Algeria,S_AccessToElectricityPctOfTotal,AutoReg3Lags,
